Season,Team,vegas_wins
2004,TOR,82.5
2004,TEX,71.5
2004,TB,69.5
2004,STL,84.5
2004,SEA,88.5
2004,SF,83.5
2004,SD,85.0
2004,PIT,66.5
2004,PHI,92.0
2004,OAK,89.0
2004,NYY,99.5
2004,NYM,81.5
2004,WAS,73.5
2004,MIN,85.5
2004,MIL,66.5
2004,LAD,83.0
2004,KCR,80.0
2004,HOU,90.5
2004,MIA,80.0
2004,DET,67.0
2004,COL,73.5
2004,CLE,74.5
2004,CIN,72.5
2004,CHW,82.5
2004,CHC,92.0
2004,BOS,96.5
2004,BAL,82.0
2004,ATL,85.5
2004,ARI,82.5
2004,LAA,91.0
2005,ARI,70.5
2005,ATL,89.5
2005,BAL,81.0
2005,BOS,97.0
2005,CHC,88.0
2005,CHW,81.0
2005,CIN,77.0
2005,CLE,83.0
2005,COL,67.5
2005,DET,78.5
2005,MIA,85.5
2005,HOU,84.0
2005,KCR,64.0
2005,LAA,91.5
2005,LAD,84.5
2005,MIL,68.5
2005,MIN,87.5
2005,NYM,85.0
2005,NYY,101.5
2005,OAK,83.0
2005,PHI,83.0
2005,PIT,73.0
2005,SD,85.5
2005,SF,82.5
2005,SEA,76.0
2005,STL,92.5
2005,TB,70.0
2005,TEX,81.5
2005,TOR,70.0
2005,WAS,69.5
2006,ARI,74.0
2006,ATL,89.0
2006,BAL,76.5
2006,BOS,90.5
2006,CHC,85.0
2006,CHW,91.5
2006,CIN,74.0
2006,CLE,90.0
2006,COL,68.5
2006,DET,77.0
2006,MIA,67.0
2006,HOU,83.5
2006,KCR,64.0
2006,LAA,88.5
2006,LAD,85.5
2006,MIL,80.5
2006,MIN,80.0
2006,NYM,91.0
2006,NYY,100.0
2006,OAK,88.5
2006,PHI,81.5
2006,PIT,75.5
2006,SD,77.5
2006,SF,81.5
2006,SEA,75.5
2006,STL,94.0
2006,TB,67.5
2006,TEX,80.5
2006,TOR,86.0
2006,WAS,77.0
2007,ARI,77.5
2007,ATL,81.5
2007,BAL,73.5
2007,BOS,90.5
2007,CHC,85.5
2007,CHW,86.5
2007,CIN,76.5
2007,CLE,84.5
2007,COL,74.5
2007,DET,87.5
2007,MIA,78.5
2007,HOU,78.5
2007,KCR,67.5
2007,LAA,89.5
2007,LAD,88.5
2007,MIL,81.5
2007,MIN,83.5
2007,NYM,88.0
2007,NYY,97.0
2007,OAK,84.5
2007,PHI,88.5
2007,PIT,71.5
2007,SD,84.0
2007,SF,81.5
2007,SEA,75.5
2007,STL,84.5
2007,TB,67.0
2007,TEX,81.5
2007,TOR,86.5
2007,WAS,66.5
2008,ARI,87.5
2008,ATL,85.5
2008,BAL,64.5
2008,BOS,94.0
2008,CHC,87.0
2008,CHW,79.5
2008,CIN,77.5
2008,CLE,90.0
2008,COL,83.0
2008,DET,93.5
2008,MIA,69.0
2008,HOU,75.0
2008,KCR,73.5
2008,LAA,92.0
2008,LAD,86.5
2008,MIL,84.5
2008,MIN,75.0
2008,NYM,93.5
2008,NYY,93.5
2008,OAK,73.5
2008,PHI,87.5
2008,PIT,70.0
2008,SD,84.5
2008,SF,73.0
2008,SEA,85.0
2008,STL,76.0
2008,TB,75.0
2008,TEX,76.0
2008,TOR,85.5
2008,WAS,72.5
2009,ARI,87.5
2009,ATL,84.5
2009,BAL,74.5
2009,BOS,93.5
2009,CHC,92.5
2009,CHW,78.5
2009,CIN,79.5
2009,CLE,84.5
2009,COL,77.5
2009,DET,80.5
2009,MIA,75.5
2009,HOU,73.5
2009,KCR,74.5
2009,LAA,88.5
2009,LAD,84.5
2009,MIL,81.5
2009,MIN,82.5
2009,NYM,90.5
2009,NYY,96.5
2009,OAK,80.5
2009,PHI,88.5
2009,PIT,69.5
2009,SD,71.5
2009,SF,78.5
2009,SEA,71.5
2009,STL,81.5
2009,TB,88.5
2009,TEX,74.5
2009,TOR,80.5
2009,WAS,73.5
2010,ARI,82.5
2010,ATL,85.5
2010,BAL,74.0
2010,BOS,94.5
2010,CHC,82.0
2010,CHW,82.5
2010,CIN,79.0
2010,CLE,74.5
2010,COL,84.5
2010,DET,80.0
2010,MIA,81.0
2010,HOU,74.5
2010,KCR,71.5
2010,LAA,84.0
2010,LAD,84.5
2010,MIL,80.0
2010,MIN,83.5
2010,NYM,80.5
2010,NYY,95.0
2010,OAK,79.0
2010,PHI,92.5
2010,PIT,69.5
2010,SD,71.5
2010,SF,82.0
2010,SEA,83.5
2010,STL,88.5
2010,TB,89.0
2010,TEX,84.0
2010,TOR,70.5
2010,WAS,71.0
2011,ARI,72.5
2011,ATL,88.0
2011,BAL,76.5
2011,BOS,95.5
2011,CHC,81.5
2011,CHW,84.5
2011,CIN,85.5
2011,CLE,71.5
2011,COL,86.5
2011,DET,84.5
2011,MIA,82.0
2011,HOU,71.5
2011,KCR,68.5
2011,LAA,83.0
2011,LAD,83.5
2011,MIL,85.5
2011,MIN,85.5
2011,NYM,77.5
2011,NYY,91.5
2011,OAK,83.5
2011,PHI,96.5
2011,PIT,67.5
2011,SD,75.5
2011,SF,87.5
2011,SEA,70.0
2011,STL,82.5
2011,TB,84.5
2011,TEX,86.5
2011,TOR,76.5
2011,WAS,72.0
2012,ARI,86.5
2012,ATL,86.5
2012,BAL,69.5
2012,BOS,90.0
2012,CHC,74.5
2012,CHW,74.5
2012,CIN,87.5
2012,CLE,78.5
2012,COL,81.5
2012,DET,92.5
2012,HOU,63.5
2012,KCR,79.5
2012,LAA,92.5
2012,LAD,81.5
2012,MIA,85.5
2012,MIL,84.5
2012,MIN,73.5
2012,NYM,73.5
2012,NYY,93.5
2012,OAK,72.0
2012,PHI,93.5
2012,PIT,73.5
2012,SD,73.5
2012,SF,87.5
2012,SEA,72.0
2012,STL,84.5
2012,TB,86.5
2012,TEX,91.0
2012,TOR,80.5
2012,WAS,84.0
2013,ARI,82.5
2013,ATL,87.5
2013,BAL,78.5
2013,BOS,83.0
2013,CHC,72.5
2013,CHW,81.0
2013,CIN,91.0
2013,CLE,77.5
2013,COL,70.5
2013,DET,92.5
2013,HOU,59.5
2013,KCR,77.5
2013,LAA,91.5
